Marital Statuses,Percentage,Conditions of Having Sex
Currently married,3.7,No way to Avoid
Formerly married,4.2,No way to Avoid
Currently married,3.4,Abstain from Sex
Formerly married,0.9,Abstain from Sex
Currently married,32,Use condom
Formerly married,25.2,Use condom
Currently married,70.5,One sexual partner
Formerly married,59.3,One sexual partner
Currently married,20.8,Avoid prostitues
Formerly married,23.6,Avoid prostitues
Currently married,26.9,Avoid injections
Formerly married,25.1,Avoid injections
Currently married,14,Don't know any way
Formerly married,21,Don't know any way
Currently married,3.3,Percentage with misinformation
Formerly married,3.4,Percentage with misinformation